,year,month,Mkt-RF,SMB,HML,RF
192607,1926,7,2.96,-2.3,-2.87,0.22
192608,1926,8,2.64,-1.4,4.19,0.25
192609,1926,9,0.36,-1.32,0.01,0.23
192610,1926,10,-3.24,0.04,0.51,0.32
192611,1926,11,2.53,-0.2,-0.35,0.31
192612,1926,12,2.62,-0.04,-0.02,0.28
192701,1927,1,-0.06,-0.56,4.83,0.25
192702,1927,2,4.18,-0.1,3.17,0.26
192703,1927,3,0.13,-1.6,-2.67,0.3
192704,1927,4,0.46,0.43,0.6,0.25
192705,1927,5,5.44,1.41,4.93,0.3
192706,1927,6,-2.34,0.47,-1.53,0.26
192707,1927,7,7.26,-3.23,-1.16,0.3
192708,1927,8,1.97,-0.72,-3.69,0.28
192709,1927,9,4.76,-3.57,-0.71,0.21
192710,1927,10,-4.31,2.13,-4.33,0.25
192711,1927,11,6.58,2.76,-0.31,0.21
192712,1927,12,2.09,0.93,-1.06,0.22
192801,1928,1,-0.68,4.25,-0.72,0.25
192802,1928,2,-1.7,-2.03,-0.69,0.33
192803,1928,3,8.81,-0.26,-1.2,0.29
192804,1928,4,4.23,3.82,3.67,0.22
192805,1928,5,1.52,2.98,-3.46,0.32
192806,1928,6,-4.85,-3.5,-0.06,0.31
192807,1928,7,0.62,-1.35,-0.47,0.32
192808,1928,8,6.68,-2.07,-2.11,0.32
192809,1928,9,2.88,2.18,0.76,0.27
192810,1928,10,1.33,2.27,-2.26,0.41
192811,1928,11,11.81,-1.81,2.8,0.38
192812,1928,12,0.36,-0.85,-0.6,0.06
192901,1929,1,4.66,-3.54,-1.21,0.34
192902,1929,2,-0.34,-0.39,1.68,0.36
192903,1929,3,-0.89,-4.78,1.56,0.34
192904,1929,4,1.43,-0.99,0.61,0.36
192905,1929,5,-6.39,-5.46,-1.57,0.44
192906,1929,6,9.7,-2.17,-2.76,0.52
192907,1929,7,4.46,-3.88,2.66,0.33
192908,1929,8,8.18,-9.52,0.06,0.4
192909,1929,9,-5.47,1.17,-0.63,0.35
192910,1929,10,-20.12,-4.08,7.85,0.46
192911,1929,11,-12.74,-1.91,5.33,0.37
192912,1929,12,1.33,-4.2,-0.59,0.37
193001,1930,1,5.61,3.58,-1.01,0.14
193002,1930,2,2.5,0.12,0.39,0.3
193003,1930,3,7.1,3.44,0.15,0.35
193004,1930,4,-2.06,-0.17,-0.84,0.21
193005,1930,5,-1.66,-2.04,-0.63,0.26
193006,1930,6,-16.27,-3.22,2,0.27
193007,1930,7,4.12,-0.37,-1.56,0.2
193008,1930,8,0.3,-2.22,-0.78,0.09
193009,1930,9,-12.75,-2.22,-5.27,0.22
193010,1930,10,-8.78,-0.1,-1.35,0.09
193011,1930,11,-3.04,2.21,-3.53,0.13
193012,1930,12,-7.83,-4.68,-5.39,0.14
193101,1931,1,6.24,3.81,7.21,0.15
193102,1931,2,10.88,3.39,1.6,0.04
193103,1931,3,-6.43,3.07,-3.65,0.13
193104,1931,4,-9.98,-4.61,-3.92,0.08
193105,1931,5,-13.24,5.16,-6.57,0.09
193106,1931,6,13.9,-5.38,11.3,0.08
193107,1931,7,-6.62,1.43,-2.1,0.06
193108,1931,8,0.41,-1.97,-1.49,0.03
193109,1931,9,-29.13,0.56,-6.75,0.03
193110,1931,10,8.04,-1.87,1.7,0.1
193111,1931,11,-9.08,4.3,-5.05,0.17
193112,1931,12,-13.53,-0.56,-8.86,0.12
193201,1932,1,-1.58,3.94,9.04,0.23
193202,1932,2,5.46,-2.77,-1.45,0.23
193203,1932,3,-11.21,2.27,-2.32,0.16
193204,1932,4,-17.96,1.44,1.42,0.11
193205,1932,5,-20.51,3.72,-3.28,0.06
193206,1932,6,-0.7,0.35,5.32,0.02
193207,1932,7,33.84,-4.44,35.46,0.03
193208,1932,8,37.06,14.29,33.03,0.03
193209,1932,9,-2.94,-2.43,-6.82,0.03
193210,1932,10,-13.17,-2.76,-10.04,0.02
193211,1932,11,-5.88,2.08,-13.28,0.02
193212,1932,12,4.4,-8.27,-8.17,0.01
193301,1933,1,1.25,0.69,6.23,0.01
193302,1933,2,-15.24,-2.75,-2.73,-0.03
193303,1933,3,3.29,3.9,7.38,0.04
193304,1933,4,38.85,4.56,17.43,0.1
193305,1933,5,21.43,36.7,19.03,0.04
193306,1933,6,13.11,8.67,-1.88,0.02
193307,1933,7,-9.63,-1.01,3.27,0.02
193308,1933,8,12.05,-5.45,2.96,0.03
193309,1933,9,-10.65,-0.32,-11.77,0.02
193310,1933,10,-8.36,-0.08,-8.46,0.01
193311,1933,11,9.97,-6.48,2.33,0.02
193312,1933,12,1.83,0.66,-1.53,0.02
193401,1934,1,12.6,12.53,15.54,0.05
193402,1934,2,-2.5,5.19,2.12,0.02
193403,1934,3,0.09,2.51,-2.73,0.02
193404,1934,4,-1.79,2.8,-3.75,0.01
193405,1934,5,-7.25,-0.26,-5.91,0.01
193406,1934,6,2.64,-2.14,-2.92,0.01
193407,1934,7,-10.96,-6.94,-10.66,0.01
193408,1934,8,5.58,5.42,0.5,0.01
193409,1934,9,-0.23,-1.52,-1.24,0.01
193410,1934,10,-1.66,1.24,-5.11,0.01
193411,1934,11,8.33,6.49,-2.24,0.01
193412,1934,12,0.36,3.08,-3.17,0.01
193501,1935,1,-3.45,1.07,-1.89,0.01
193502,1935,2,-1.94,0.42,-7.24,0.02
193503,1935,3,-3.68,-3.54,-5.06,0.01
193504,1935,4,9.06,-1.56,4.27,0.01
193505,1935,5,3.47,-3.34,2.61,0.01
193506,1935,6,5.93,-2.51,-1.65,0.01
193507,1935,7,7.51,1.47,6.86,0.01
193508,1935,8,2.65,6.28,5.7,0.01
193509,1935,9,2.63,1.57,-4.05,0.01
193510,1935,10,7.03,2.65,-2.33,0.01
193511,1935,11,4.88,4.3,11.91,0.02
193512,1935,12,4.56,0.22,1.07,0.01
193601,1936,1,6.89,5.1,10.51,0.01
193602,1936,2,2.49,1.14,5.04,0.01
193603,1936,3,0.99,0.66,-1.66,0.02
193604,1936,4,-8.14,-6.03,-2.08,0.02
193605,1936,5,5.19,0.81,2.63,0.02
193606,1936,6,2.4,-3.25,-1.2,0.03
193607,1936,7,6.67,1.14,2.56,0.01
193608,1936,8,0.99,0.72,3.99,0.02
193609,1936,9,0.98,3.07,0.88,0.01
193610,1936,10,7.12,-2.39,2.52,0.02
193611,1936,11,3.27,9.01,-0.92,0.01
193612,1936,12,0.21,3.61,3.96,0
193701,1937,1,3.35,4.31,2.61,0.01
193702,1937,2,1.09,1.23,5.05,0.02
193703,1937,3,-0.27,-1.78,6.39,0.01
193704,1937,4,-7.36,-3.77,-3.61,0.03
193705,1937,5,-0.83,-0.66,-3.49,0.06
193706,1937,6,-4.21,-3.65,-3.21,0.03
193707,1937,7,8.91,0.85,0.82,0.03
193708,1937,8,-4.86,0.42,-2.25,0.02
193709,1937,9,-13.61,-6.89,-4.57,0.04
193710,1937,10,-9.61,0.45,-1.62,0.02
193711,1937,11,-8.31,-3.65,0.2,0.02
193712,1937,12,-4.24,-7.76,-0.39,0
193801,1938,1,0.49,4.97,-1.6,0
193802,1938,2,5.84,0.35,-2.02,0
193803,1938,3,-23.82,-4.24,-3.52,-0.01
193804,1938,4,14.51,6.37,0.18,0.01
193805,1938,5,-3.83,-2.47,-0.28,0
193806,1938,6,23.87,4.05,0.3,0
193807,1938,7,7.34,6.66,2.18,-0.01
193808,1938,8,-2.67,-2.44,-4.72,0
193809,1938,9,0.81,-2.72,-1.62,0.02
193810,1938,10,7.8,5.83,5.01,0.01
193811,1938,11,-1.72,-2.56,-1.23,-0.06
193812,1938,12,4.19,-1.8,0.5,0
193901,1939,1,-5.96,-1.56,-3.92,-0.01
193902,1939,2,3.51,0.63,2.95,0.01
193903,1939,3,-11.99,-4.76,-8.29,-0.01
193904,1939,4,-0.18,1.66,-0.3,0
193905,1939,5,6.8,2.81,0.47,0.01
193906,1939,6,-5.31,-1.02,-5.41,0.01
193907,1939,7,10.24,4.32,-0.03,0
193908,1939,8,-6.68,-4.61,-2.42,-0.01
193909,1939,9,16.88,20.23,22.22,0.01
193910,1939,10,-0.53,-0.01,-4.89,0
193911,1939,11,-3.62,-5.07,-6.46,0
193912,1939,12,3.03,0.79,-4.06,0
194001,1940,1,-2.41,0.24,-0.77,0
194002,1940,2,1.44,2.51,-0.32,0
194003,1940,3,2.05,1.25,-1.27,0
194004,1940,4,0.22,3.92,-0.13,0
194005,1940,5,-21.95,-6.66,-3.69,-0.02
194006,1940,6,6.67,-2.13,4.63,0
194007,1940,7,3.16,1.01,-0.74,0.01
194008,1940,8,2.19,-0.11,0.56,-0.01
194009,1940,9,2.39,3.22,-1.13,0
194010,1940,10,3.02,0.28,4.64,0
194011,1940,11,-1.61,1.94,0.12,0
194012,1940,12,0.69,-2.15,-0.89,0
194101,1941,1,-4.17,1,3.83,-0.01
194102,1941,2,-1.43,-1.57,0.89,-0.01
194103,1941,3,0.84,0.1,3.04,0.01
194104,1941,4,-5.46,-1.69,3.41,-0.01
194105,1941,5,1.39,-0.66,0.6,0
194106,1941,6,5.83,1.32,0.59,0
194107,1941,7,5.87,5.7,7.25,0.03
194108,1941,8,-0.17,-0.41,-1.1,0.01
194109,1941,9,-0.87,-0.99,-0.28,0.01
194110,1941,10,-5.25,-2.02,1.63,0
194111,1941,11,-1.92,-1.21,-0.64,0
194112,1941,12,-4.87,-2.98,-5.94,0.01
194201,1942,1,0.79,7.52,10.1,0.02
194202,1942,2,-2.46,1.72,-1.13,0.01
194203,1942,3,-6.58,1.78,-0.62,0.01
194204,1942,4,-4.37,-0.6,2.09,0.01
194205,1942,5,5.94,-3.05,-2.65,0.03
194206,1942,6,2.69,-1.22,0.54,0.02
194207,1942,7,3.51,-0.16,2.4,0.03
194208,1942,8,1.8,-0.09,1.33,0.03
194209,1942,9,2.61,0.66,2.39,0.03
194210,1942,10,6.82,1.82,6.47,0.03
194211,1942,11,0.15,-1.54,-4.24,0.03
194212,1942,12,5.12,-2.49,0.56,0.03
194301,1943,1,7.13,8.78,8.23,0.03
194302,1943,2,6.15,4.84,6.51,0.03
194303,1943,3,6.01,5.03,5.48,0.03
194304,1943,4,0.81,2.06,5.86,0.03
194305,1943,5,5.74,4.41,3.28,0.03
194306,1943,6,1.82,-1.06,-0.74,0.03
194307,1943,7,-4.77,-2.41,-2.27,0.03
194308,1943,8,1.3,-0.62,-0.47,0.03
194309,1943,9,2.4,1.28,1.43,0.03
194310,1943,10,-1.15,0.58,1.65,0.03
194311,1943,11,-5.91,-1.64,-4.04,0.03
194312,1943,12,6.36,3.34,3.22,0.03
194401,1944,1,1.74,2.56,2.17,0.03
194402,1944,2,0.37,-0.1,0.83,0.03
194403,1944,3,2.46,1.71,3.43,0.02
194404,1944,4,-1.69,-1.35,-1.13,0.03
194405,1944,5,5.07,1.67,1.02,0.03
194406,1944,6,5.49,4.04,1.82,0.03
194407,1944,7,-1.49,0.55,-0.43,0.03
194408,1944,8,1.57,2.41,-1.63,0.03
194409,1944,9,0.01,0.47,-1.21,0.02
194410,1944,10,0.16,-0.14,-0.34,0.03
194411,1944,11,1.71,0.37,2.31,0.03
194412,1944,12,4.03,2.24,5.91,0.02
194501,1945,1,2.01,2.44,0.71,0.03
194502,1945,2,6.23,1.56,4.4,0.02
194503,1945,3,-3.89,-1.61,-1.78,0.02
194504,1945,4,7.8,0.32,3.21,0.03
194505,1945,5,1.73,1.51,0.35,0.03
194506,1945,6,0.39,3.1,4.32,0.02
194507,1945,7,-2.17,-1.46,-2.71,0.03
194508,1945,8,6.2,1.61,-4.4,0.03
194509,1945,9,4.77,1.71,0.48,0.03
194510,1945,10,3.89,2.46,2.25,0.03
194511,1945,11,5.39,4.16,4.34,0.02
194512,1945,12,1.2,2.12,-2.32,0.03
194601,1946,1,6.24,4.02,2.21,0.03
194602,1946,2,-5.83,-0.73,-1.27,0.03
194603,1946,3,5.87,0.31,-0.36,0.03
194604,1946,4,4.23,2.37,0.45,0.03
194605,1946,5,3.93,1.46,1.09,0.03
194606,1946,6,-3.89,-1.53,-0.59,0.03
194607,1946,7,-2.69,-2.06,0.04,0.03
194608,1946,8,-6.44,-1.78,0.6,0.03
194609,1946,9,-10.17,-4.41,-1.96,0.03
194610,1946,10,-1.44,0.09,3.44,0.03
194611,1946,11,-0.01,-0.4,1.52,0.03
194612,1946,12,4.96,0.06,-1.38,0.03
194701,1947,1,1.25,2.18,-0.73,0.03
194702,1947,2,-1.08,0.68,0.14,0.03
194703,1947,3,-1.67,-1.61,0.61,0.03
194704,1947,4,-4.8,-3.97,0.85,0.03
194705,1947,5,-0.97,-3.26,0.34,0.03
194706,1947,6,5.29,-0.31,-0.6,0.03
194707,1947,7,4.14,1.43,2.82,0.03
194708,1947,8,-1.74,0.3,0.16,0.03
194709,1947,9,-0.54,1.64,1.36,0.06
194710,1947,10,2.47,0.51,0.08,0.06
194711,1947,11,-1.97,-1.74,1.06,0.06
194712,1947,12,3,-2.48,3.69,0.08
194801,1948,1,-3.93,2.49,1.38,0.07
194802,1948,2,-4.38,-1.71,0.07,0.07
194803,1948,3,8.07,0.13,4.49,0.09
194804,1948,4,3.65,-1.66,4.1,0.08
194805,1948,5,7.3,0.93,-1.23,0.08
194806,1948,6,-0.1,-1.86,2.75,0.09
194807,1948,7,-5.09,-0.32,0.07,0.08
194808,1948,8,0.25,-1.1,0.27,0.09
194809,1948,9,-2.97,-1.23,-1.79,0.04
194810,1948,10,5.96,-1.5,0.56,0.04
194811,1948,11,-9.3,-0.62,-4.14,0.04
194812,1948,12,3.26,-2.8,-1.94,0.04
194901,1949,1,0.23,1.81,1.17,0.1
194902,1949,2,-2.93,-1.89,-0.91,0.09
194903,1949,3,4.04,2.48,1.34,0.1
194904,1949,4,-1.87,-0.89,-1.18,0.09
194905,1949,5,-2.94,-0.77,-2.42,0.1
194906,1949,6,0.1,-0.88,-1.76,0.1
194907,1949,7,5.54,0.57,0.38,0.09
194908,1949,8,2.6,0.13,-0.57,0.09
194909,1949,9,3.09,1.05,0.23,0.09
194910,1949,10,3.14,1.03,-0.49,0.09
194911,1949,11,1.82,-0.93,-0.91,0.08
194912,1949,12,5.13,2.07,1.75,0.09
195001,1950,1,1.7,3.36,0.14,0.09
195002,1950,2,1.48,0.04,-0.81,0.09
195003,1950,3,1.26,-1.41,-2.77,0.1
195004,1950,4,3.94,1.99,1.34,0.09
195005,1950,5,4.31,-2.12,0.46,0.1
195006,1950,6,-5.94,-2.38,-0.78,0.1
195007,1950,7,1.36,0.51,13.66,0.1
195008,1950,8,4.85,0.73,-1.41,0.1
195009,1950,9,4.81,0.57,-1.11,0.1
195010,1950,10,-0.18,-0.58,1.44,0.12
195011,1950,11,2.76,-0.84,3.17,0.11
195012,1950,12,5.54,1.49,7.23,0.11
195101,1951,1,5.7,1.73,3.72,0.13
195102,1951,2,1.41,0.09,-2.83,0.1
195103,1951,3,-2.15,-0.64,-4.22,0.11
195104,1951,4,4.86,-1.49,3.28,0.13
195105,1951,5,-2.34,-0.01,-1.33,0.12
195106,1951,6,-2.62,-1.95,-3.96,0.12
195107,1951,7,6.94,-1.99,2.01,0.13
195108,1951,8,4.27,0.99,-0.16,0.13
195109,1951,9,0.7,1.9,0.61,0.12
195110,1951,10,-2.53,-0.22,0.25,0.16
195111,1951,11,0.57,-0.29,-0.05,0.11
195112,1951,12,3.33,-2.25,-1.56,0.12
195201,1952,1,1.45,-0.61,1.54,0.15
195202,1952,2,-2.62,0.79,-0.61,0.12
195203,1952,3,4.44,-2.99,2.16,0.11
195204,1952,4,-4.97,0.48,-0.1,0.12
195205,1952,5,3.2,-1.01,0.08,0.13
195206,1952,6,3.83,-1.61,1.23,0.15
195207,1952,7,0.91,-0.4,-0.35,0.15
195208,1952,8,-0.76,1.18,0.03,0.15
195209,1952,9,-2.03,1.15,-1.51,0.16
195210,1952,10,-0.66,-1.06,-0.45,0.14
195211,1952,11,5.94,-0.71,0.95,0.1
195212,1952,12,2.93,-1.48,0.18,0.16
195301,1953,1,-0.34,3.58,1.32,0.16
195302,1953,2,-0.27,2.15,-0.08,0.14
195303,1953,3,-1.43,-0.19,-0.8,0.18
195304,1953,4,-2.83,0.28,1.53,0.16
195305,1953,5,0.52,-0.07,0.23,0.17
195306,1953,6,-1.89,-1.86,-0.47,0.18
195307,1953,7,2.4,-1.05,-0.24,0.15
195308,1953,8,-4.52,0.36,-3.54,0.17
195309,1953,9,0.2,-0.85,-2.42,0.16
195310,1953,10,4.6,-1.37,-0.19,0.13
195311,1953,11,2.83,-1.29,-0.17,0.08
195312,1953,12,0.03,-0.84,-2.84,0.13
195401,1954,1,5.13,0.46,3.51,0.11
195402,1954,2,1.67,-0.17,-0.28,0.07
195403,1954,3,3.65,-0.49,-1.46,0.08
195404,1954,4,4.27,-3.48,-0.37,0.09
195405,1954,5,3.09,0.39,2.46,0.05
195406,1954,6,1.07,0.41,-0.03,0.06
195407,1954,7,4.99,1.07,4.11,0.05
195408,1954,8,-2.34,2.66,-1.36,0.05
195409,1954,9,6.39,-2.54,0.66,0.09
195410,1954,10,-1.67,0.59,0.72,0.07
195411,1954,11,9.38,-2.62,4.36,0.06
195412,1954,12,5.48,2.14,5.71,0.08
195501,1955,1,0.6,0.25,2.18,0.08
195502,1955,2,3.02,1.54,0.62,0.09
195503,1955,3,-0.16,-0.66,1.95,0.1
195504,1955,4,3.11,-1.79,0.81,0.1
195505,1955,5,0.93,-0.29,-0.86,0.14
195506,1955,6,6.55,-4.65,1.92,0.1
195507,1955,7,1.9,-1.36,0.63,0.1
195508,1955,8,0.21,-0.38,0.58,0.16
195509,1955,9,-0.36,0.3,-1.06,0.16
195510,1955,10,-2.68,1.5,-0.03,0.18
195511,1955,11,7.03,-2.46,0.5,0.17
195512,1955,12,1.49,2.08,-2.24,0.18
195601,1956,1,-3.03,0.44,1.12,0.22
195602,1956,2,3.77,-1.04,-0.53,0.19
195603,1956,3,6.64,-2.42,-0.14,0.15
195604,1956,4,0.28,0.07,-0.18,0.19
195605,1956,5,-5.2,1.5,-1.33,0.23
195606,1956,6,3.48,-1.46,-1.32,0.2
195607,1956,7,4.84,-1.68,-0.01,0.22
195608,1956,8,-3.18,1.9,-0.71,0.17
195609,1956,9,-5.14,1.56,1.79,0.18
195610,1956,10,0.52,-0.09,-0.06,0.25
195611,1956,11,0.36,-0.22,1.78,0.2
195612,1956,12,3.16,-0.03,-2.1,0.24
195701,1957,1,-3.58,3.4,2.78,0.27
195702,1957,2,-2.06,-0.72,-0.73,0.24
